,Period of Holding
0,23 days 00:00:00.000000000
1,20 days 00:00:00.000000000
2,25 days 00:00:00.000000000
3,-10 days +00:00:00.000000000
4,-10 days +00:00:00.000000000
5,15 days 00:00:00.000000000
6,14 days 00:00:00.000000000
7,14 days 00:00:00.000000000
8,-6 days +00:00:00.000000000
9,-14 days +00:00:00.000000000
10,-19 days +00:00:00.000000000
11,34 days 00:00:00.000000000
12,34 days 00:00:00.000000000
13,31 days 00:00:00.000000000
14,2 days 00:00:00.000000000
15,34 days 00:00:00.000000000
16,34 days 00:00:00.000000000
17,34 days 00:00:00.000000000
18,16 days 00:00:00.000000000
19,34 days 00:00:00.000000000
20,34 days 00:00:00.000000000
21,35 days 00:00:00.000000000
22,32 days 00:00:00.000000000
23,34 days 00:00:00.000000000
24,96 days 00:00:00.000000000
25,34 days 00:00:00.000000000
26,34 days 00:00:00.000000000
27,34 days 00:00:00.000000000
28,34 days 00:00:00.000000000
29,32 days 00:00:00.000000000
30,34 days 00:00:00.000000000
31,35 days 00:00:00.000000000
32,34 days 00:00:00.000000000
33,35 days 00:00:00.000000000
34,95 days 00:00:00.000000000
35,35 days 00:00:00.000000000
36,35 days 00:00:00.000000000
37,96 days 00:00:00.000000000
38,33 days 00:00:00.000000000
39,-41 days +00:00:00.000000000
40,-9 days +00:00:00.000000000
41,22 days 00:00:00.000000000
42,1 days 00:00:00.000000000
43,-13 days +00:00:00.000000000
44,21 days 00:00:00.000000000
45,-10 days +00:00:00.000000000
46,19 days 00:00:00.000000000
47,19 days 00:00:00.000000000
48,33 days 00:00:00.000000000
49,33 days 00:00:00.000000000
50,-24 days +00:00:00.000000000
51,-54 days +00:00:00.000000000
52,4 days 00:00:00.000000000
53,69 days 00:00:00.000000000
54,34 days 00:00:00.000000000
55,33 days 00:00:00.000000000
56,91 days 00:00:00.000000000
57,-18 days +00:00:00.000000000
58,74 days 00:00:00.000000000
59,30 days 00:00:00.000000000
60,31 days 00:00:00.000000000
61,30 days 00:00:00.000000000
62,29 days 00:00:00.000000000
63,-70 days +00:00:00.000000000
64,23 days 00:00:00.000000000
65,21 days 00:00:00.000000000
66,35 days 00:00:00.000000000
67,35 days 00:00:00.000000000
68,35 days 00:00:00.000000000
69,35 days 00:00:00.000000000
70,91 days 00:00:00.000000000
71,35 days 00:00:00.000000000
72,31 days 00:00:00.000000000
73,34 days 00:00:00.000000000
74,35 days 00:00:00.000000000
75,37 days 00:00:00.000000000
76,29 days 00:00:00.000000000
77,33 days 00:00:00.000000000
78,33 days 00:00:00.000000000
79,33 days 00:00:00.000000000
80,33 days 00:00:00.000000000
81,33 days 00:00:00.000000000
82,30 days 00:00:00.000000000
83,30 days 00:00:00.000000000
84,33 days 00:00:00.000000000
85,33 days 00:00:00.000000000
86,92 days 00:00:00.000000000
87,35 days 00:00:00.000000000
88,35 days 00:00:00.000000000
89,33 days 00:00:00.000000000
90,92 days 00:00:00.000000000
91,33 days 00:00:00.000000000
92,28 days 00:00:00.000000000
93,91 days 00:00:00.000000000
94,34 days 00:00:00.000000000
95,32 days 00:00:00.000000000
96,32 days 00:00:00.000000000
97,29 days 00:00:00.000000000
98,30 days 00:00:00.000000000
99,30 days 00:00:00.000000000
100,30 days 00:00:00.000000000
101,32 days 00:00:00.000000000
102,32 days 00:00:00.000000000
103,30 days 00:00:00.000000000
104,28 days 00:00:00.000000000
105,28 days 00:00:00.000000000
106,-6 days +00:00:00.000000000
107,-6 days +00:00:00.000000000
108,35 days 00:00:00.000000000
109,8 days 00:00:00.000000000
110,8 days 00:00:00.000000000
111,8 days 00:00:00.000000000
112,35 days 00:00:00.000000000
113,-6 days +00:00:00.000000000
114,34 days 00:00:00.000000000
115,35 days 00:00:00.000000000
116,35 days 00:00:00.000000000
117,35 days 00:00:00.000000000
118,35 days 00:00:00.000000000
119,35 days 00:00:00.000000000
120,35 days 00:00:00.000000000
121,35 days 00:00:00.000000000
122,35 days 00:00:00.000000000
123,65 days 00:00:00.000000000
124,35 days 00:00:00.000000000
125,35 days 00:00:00.000000000
126,31 days 00:00:00.000000000
127,31 days 00:00:00.000000000
128,21 days 00:00:00.000000000
129,35 days 00:00:00.000000000
130,31 days 00:00:00.000000000
131,34 days 00:00:00.000000000
132,34 days 00:00:00.000000000
133,34 days 00:00:00.000000000
134,35 days 00:00:00.000000000
135,33 days 00:00:00.000000000
136,34 days 00:00:00.000000000
137,63 days 00:00:00.000000000
138,32 days 00:00:00.000000000
139,35 days 00:00:00.000000000
140,33 days 00:00:00.000000000
141,96 days 00:00:00.000000000
142,34 days 00:00:00.000000000
143,96 days 00:00:00.000000000
144,31 days 00:00:00.000000000
145,31 days 00:00:00.000000000
146,95 days 00:00:00.000000000
147,33 days 00:00:00.000000000
148,-66 days +00:00:00.000000000
149,-66 days +00:00:00.000000000
150,-33 days +00:00:00.000000000
151,33 days 00:00:00.000000000
152,33 days 00:00:00.000000000
153,34 days 00:00:00.000000000
154,33 days 00:00:00.000000000
155,34 days 00:00:00.000000000
156,33 days 00:00:00.000000000
157,34 days 00:00:00.000000000
158,33 days 00:00:00.000000000
159,34 days 00:00:00.000000000
160,30 days 00:00:00.000000000
161,34 days 00:00:00.000000000
162,34 days 00:00:00.000000000
163,29 days 00:00:00.000000000
164,3 days 00:00:00.000000000
165,35 days 00:00:00.000000000
166,35 days 00:00:00.000000000
167,35 days 00:00:00.000000000
168,32 days 00:00:00.000000000
169,32 days 00:00:00.000000000
170,34 days 00:00:00.000000000
171,20 days 00:00:00.000000000
172,34 days 00:00:00.000000000
173,33 days 00:00:00.000000000
174,32 days 00:00:00.000000000
175,35 days 00:00:00.000000000
176,34 days 00:00:00.000000000
177,34 days 00:00:00.000000000
178,21 days 00:00:00.000000000
179,21 days 00:00:00.000000000
180,32 days 00:00:00.000000000
181,31 days 00:00:00.000000000
182,17 days 00:00:00.000000000
183,33 days 00:00:00.000000000
184,33 days 00:00:00.000000000
185,33 days 00:00:00.000000000
186,21 days 00:00:00.000000000
187,31 days 00:00:00.000000000
188,35 days 00:00:00.000000000
189,34 days 00:00:00.000000000
190,96 days 00:00:00.000000000
191,36 days 00:00:00.000000000
192,32 days 00:00:00.000000000
193,93 days 00:00:00.000000000
194,22 days 00:00:00.000000000
195,36 days 00:00:00.000000000
196,34 days 00:00:00.000000000
197,35 days 00:00:00.000000000
198,35 days 00:00:00.000000000
199,35 days 00:00:00.000000000
200,4 days 00:00:00.000000000
201,35 days 00:00:00.000000000
202,35 days 00:00:00.000000000
203,35 days 00:00:00.000000000
204,35 days 00:00:00.000000000
205,35 days 00:00:00.000000000
206,34 days 00:00:00.000000000
207,35 days 00:00:00.000000000
208,35 days 00:00:00.000000000
209,35 days 00:00:00.000000000
210,35 days 00:00:00.000000000
211,35 days 00:00:00.000000000
212,35 days 00:00:00.000000000
213,34 days 00:00:00.000000000
214,34 days 00:00:00.000000000
215,34 days 00:00:00.000000000
216,34 days 00:00:00.000000000
217,32 days 00:00:00.000000000
218,34 days 00:00:00.000000000
219,35 days 00:00:00.000000000
220,33 days 00:00:00.000000000
221,-37 days +00:00:00.000000000
222,-4 days +00:00:00.000000000
223,-4 days +00:00:00.000000000
224,34 days 00:00:00.000000000
225,33 days 00:00:00.000000000
226,33 days 00:00:00.000000000
227,33 days 00:00:00.000000000
228,34 days 00:00:00.000000000
229,34 days 00:00:00.000000000
230,35 days 00:00:00.000000000
231,31 days 00:00:00.000000000
232,35 days 00:00:00.000000000
233,30 days 00:00:00.000000000
234,30 days 00:00:00.000000000
235,16 days 00:00:00.000000000
236,36 days 00:00:00.000000000
237,35 days 00:00:00.000000000
238,93 days 00:00:00.000000000
239,32 days 00:00:00.000000000
240,-6 days +00:00:00.000000000
241,30 days 00:00:00.000000000
242,96 days 00:00:00.000000000
243,35 days 00:00:00.000000000
244,35 days 00:00:00.000000000
245,34 days 00:00:00.000000000
246,34 days 00:00:00.000000000
