portfolio_id,desk_id
PF00001002,DSK00001001
PF00001003,DSK00001002
PF00001005,DSK00001004
PF00001006,DSK00001005
PF00001007,DSK00001005
PF00001008,DSK00001006
PF00001010,DSK00001009
PF00001011,DSK00001009
PF00001012,DSK00001010
PF00001016,DSK00001014
PF00001018,DSK00001016
PF00001019,DSK00001017
PF00001020,DSK00001017
PF00001022,DSK00001018
PF00001026,DSK00001022
PF00001027,DSK00001023
PF00001029,DSK00001024
PF00001030,DSK00001025
PF00001031,DSK00001026
PF00001033,DSK00001028
PF00001034,DSK00001029
PF00001035,DSK00001030
PF00001037,DSK00001031
PF00001038,DSK00001032
PF00001039,DSK00001033
PF00001040,DSK00001034
PF00001042,DSK00001035
PF00001043,DSK00001036
PF00001044,DSK00001037
PF00001046,DSK00001039
PF00001048,DSK00001041
PF00001054,DSK00001044
PF00001052,DSK00001042
PF00001055,DSK00001044
PF00001056,DSK00001045
PF00001057,DSK00001046
PF00001058,DSK00001047
PF00001061,DSK00001051
PF00001062,DSK00001052
PF00001063,DSK00001053
PF00001064,DSK00001054
PF00001065,DSK00001055
PF00001066,DSK00001056
PF00001070,DSK00001060
PF00001071,DSK00001061
PF00001072,DSK00001062
PF00001073,DSK00001048
PF00001074,DSK00001048
PF00001075,DSK00001063
PF00001076,DSK00001063
PF00001079,DSK00001066
PF00001080,DSK00001067
PF00001081,DSK00001068
PF00001082,DSK00001069
PF00001083,DSK00001070
PF00001084,DSK00001071
PF00001089,DSK00001075
PF00001090,DSK00001076
PF00001091,DSK00001077
PF00001093,DSK00001079
PF00001094,DSK00001080
PF00001096,DSK00001081
PF00001097,DSK00001082
PF00001098,DSK00001083
PF00001101,DSK00001086
PF00001102,DSK00001087
PF00001103,DSK00001088
PF00001106,DSK00001090
PF00001109,DSK00001093
PF00001110,DSK00001094
PF00001111,DSK00001095
PF00001116,DSK00001100
PF00001117,DSK00001101
PF00001118,DSK00001102
PF00001121,DSK00001104
PF00001122,DSK00001105
PF00001124,DSK00001106
PF00001125,DSK00001107
PF00001127,DSK00001109
PF00001128,DSK00001110
PF00001129,DSK00001110
PF00001130,DSK00001111
PF00001131,DSK00001112
PF00001137,DSK00001118
PF00001136,DSK00001117
PF00001138,DSK00001119
PF00001139,DSK00001120
PF00001140,DSK00001121
PF00001141,DSK00001121
PF00001146,DSK00001125
PF00001147,DSK00001126
PF00001144,DSK00001123
PF00001149,DSK00001127
PF00001150,DSK00001128
PF00001151,DSK00001129
PF00001152,DSK00001130
PF00001154,DSK00001131
PF00001156,DSK00001133
PF00001157,DSK00001134
PF00001158,DSK00001135
PF00001159,DSK00001136
PF00001160,DSK00001137
PF00001163,DSK00001140
PF00001166,DSK00001143
PF00001167,DSK00001144
PF00001168,DSK00001144
PF00001169,DSK00001146
PF00001170,DSK00001146
PF00001172,DSK00001147
PF00001173,DSK00001148
PF00001174,DSK00001148
PF00001175,DSK00001148
PF00001182,DSK00001152
PF00001177,DSK00001149
PF00001181,DSK00001151
PF00001183,DSK00001152
PF00001184,DSK00001152
PF00001185,DSK00001153
PF00001186,DSK00001153
PF00001187,DSK00001154
PF00001188,DSK00001155
PF00001191,DSK00001158
PF00001192,DSK00001159
PF00001193,DSK00001160
PF00001195,DSK00001163
PF00001197,DSK00001165
PF00001200,DSK00001168
PF00001201,DSK00001168
PF00001202,DSK00001169
PF00001205,DSK00001171
PF00001206,DSK00001172
