start_date,creation_date,sell_date,create-sell,start-create,start-sell
7/20/2004,7/20/2004,8/12/2004,23,0,23
7/9/2004,7/23/2004,8/12/2004,20,14,34
7/23/2004,7/23/2004,8/17/2004,25,0,25
6/9/2004,7/23/2004,7/13/2004,-10,44,34
6/9/2004,7/23/2004,7/13/2004,-10,44,34
7/7/2004,7/26/2004,8/10/2004,15,19,34
7/6/2004,7/26/2004,8/9/2004,14,20,34
7/6/2004,7/26/2004,8/9/2004,14,20,34
4/19/2004,7/26/2004,7/20/2004,-6,98,92
4/14/2004,7/27/2004,7/13/2004,-14,104,90
6/11/2004,8/4/2004,7/16/2004,-19,54,35
8/5/2004,8/5/2004,9/8/2004,34,0,34
8/5/2004,8/5/2004,9/8/2004,34,0,34
8/9/2004,8/9/2004,9/9/2004,31,0,31
5/11/2004,8/10/2004,8/12/2004,2,91,93
8/10/2004,8/10/2004,9/13/2004,34,0,34
8/10/2004,8/10/2004,9/13/2004,34,0,34
8/11/2004,8/11/2004,9/14/2004,34,0,34
7/20/2004,8/11/2004,8/27/2004,16,22,38
8/12/2004,8/12/2004,9/15/2004,34,0,34
8/12/2004,8/12/2004,9/15/2004,34,0,34
8/25/2004,8/25/2004,9/29/2004,35,0,35
9/6/2004,9/6/2004,10/8/2004,32,0,32
9/7/2004,9/7/2004,10/11/2004,34,0,34
9/9/2004,9/9/2004,12/14/2004,96,0,96
9/9/2004,9/9/2004,10/13/2004,34,0,34
9/9/2004,9/9/2004,10/13/2004,34,0,34
9/10/2004,9/10/2004,10/14/2004,34,0,34
9/10/2004,9/10/2004,10/14/2004,34,0,34
9/13/2004,9/13/2004,10/15/2004,32,0,32
10/6/2004,10/6/2004,11/9/2004,34,0,34
10/11/2004,10/11/2004,11/15/2004,35,0,35
10/7/2004,10/7/2004,11/10/2004,34,0,34
10/11/2004,10/11/2004,11/15/2004,35,0,35
10/11/2004,10/11/2004,1/14/2005,95,0,95
10/11/2004,10/11/2004,11/15/2004,35,0,35
10/12/2004,10/12/2004,11/16/2004,35,0,35
10/15/2004,10/15/2004,1/19/2005,96,0,96
10/27/2004,10/27/2004,11/29/2004,33,0,33
8/13/2004,10/27/2004,9/16/2004,-41,75,34
10/27/2004,10/27/2004,10/18/2004,-9,0,-9
10/27/2004,10/27/2004,11/18/2004,22,0,22
9/29/2004,10/28/2004,10/29/2004,1,29,30
10/28/2004,10/28/2004,10/15/2004,-13,0,-13
10/15/2004,10/28/2004,11/18/2004,21,13,34
9/14/2004,10/28/2004,10/18/2004,-10,44,34
10/13/2004,10/29/2004,11/17/2004,19,16,35
10/13/2004,10/29/2004,11/17/2004,19,16,35
11/5/2004,11/5/2004,12/8/2004,33,0,33
11/5/2004,11/5/2004,12/8/2004,33,0,33
9/15/2004,11/8/2004,10/15/2004,-24,54,30
8/15/2004,11/8/2004,9/15/2004,-54,85,31
10/8/2004,11/8/2004,11/12/2004,4,31,35
10/13/2004,11/9/2004,1/17/2005,69,27,96
11/9/2004,11/9/2004,12/13/2004,34,0,34
11/10/2004,11/10/2004,12/13/2004,33,0,33
11/12/2004,11/12/2004,2/11/2005,91,0,91
11/12/2004,11/12/2004,10/25/2004,-18,0,-18
11/12/2004,11/12/2004,1/25/2005,74,0,74
11/15/2004,11/15/2004,12/15/2004,30,0,30
11/15/2004,11/15/2004,12/16/2004,31,0,31
11/16/2004,11/16/2004,12/16/2004,30,0,30
11/16/2004,11/16/2004,12/15/2004,29,0,29
8/10/2004,11/22/2004,9/13/2004,-70,104,34
11/22/2004,11/22/2004,12/15/2004,23,0,23
11/22/2004,11/22/2004,12/13/2004,21,0,21
11/25/2004,11/25/2004,12/30/2004,35,0,35
12/6/2004,12/6/2004,1/10/2005,35,0,35
12/9/2004,12/9/2004,1/13/2005,35,0,35
12/10/2004,12/10/2004,1/14/2005,35,0,35
12/10/2004,12/10/2004,3/11/2005,91,0,91
12/13/2004,12/13/2004,1/17/2005,35,0,35
12/13/2004,12/13/2004,1/13/2005,31,0,31
12/14/2004,12/14/2004,1/17/2005,34,0,34
12/14/2004,12/14/2004,1/18/2005,35,0,35
12/14/2004,12/14/2004,1/20/2005,37,0,37
12/13/2004,12/15/2004,1/13/2005,29,2,31
12/15/2004,12/15/2004,1/17/2005,33,0,33
12/29/2004,12/29/2004,1/31/2005,33,0,33
1/6/2005,1/6/2005,2/8/2005,33,0,33
1/6/2005,1/6/2005,2/8/2005,33,0,33
1/7/2005,1/7/2005,2/9/2005,33,0,33
1/10/2005,1/10/2005,2/9/2005,30,0,30
1/12/2005,1/12/2005,2/11/2005,30,0,30
1/12/2005,1/12/2005,2/14/2005,33,0,33
1/13/2005,1/13/2005,2/15/2005,33,0,33
1/13/2005,1/13/2005,4/15/2005,92,0,92
1/13/2005,1/13/2005,2/17/2005,35,0,35
1/13/2005,1/13/2005,2/17/2005,35,0,35
1/14/2005,1/14/2005,2/16/2005,33,0,33
1/17/2005,1/17/2005,4/19/2005,92,0,92
1/13/2005,1/13/2005,2/15/2005,33,0,33
1/19/2005,1/19/2005,2/16/2005,28,0,28
1/24/2005,1/24/2005,4/25/2005,91,0,91
1/26/2005,1/26/2005,3/1/2005,34,0,34
1/27/2005,1/27/2005,2/28/2005,32,0,32
2/4/2005,2/4/2005,3/8/2005,32,0,32
2/8/2005,2/8/2005,3/9/2005,29,0,29
2/8/2005,2/8/2005,3/10/2005,30,0,30
2/9/2005,2/9/2005,3/11/2005,30,0,30
2/9/2005,2/9/2005,3/11/2005,30,0,30
2/10/2005,2/10/2005,3/14/2005,32,0,32
2/11/2005,2/11/2005,3/15/2005,32,0,32
2/15/2005,2/15/2005,3/17/2005,30,0,30
2/15/2005,2/15/2005,3/15/2005,28,0,28
2/15/2005,2/15/2005,3/15/2005,28,0,28
2/24/2005,2/24/2005,2/18/2005,-6,0,-6
2/24/2005,2/24/2005,2/18/2005,-6,0,-6
2/24/2005,2/24/2005,3/31/2005,35,0,35
2/24/2005,2/24/2005,3/4/2005,8,0,8
2/24/2005,2/24/2005,3/4/2005,8,0,8
2/24/2005,2/24/2005,3/4/2005,8,0,8
3/2/2005,3/2/2005,4/6/2005,35,0,35
2/24/2005,2/24/2005,2/18/2005,-6,0,-6
2/25/2005,2/25/2005,3/31/2005,34,0,34
3/2/2005,3/2/2005,4/6/2005,35,0,35
3/2/2005,3/2/2005,4/6/2005,35,0,35
3/4/2005,3/4/2005,4/8/2005,35,0,35
3/4/2005,3/4/2005,4/8/2005,35,0,35
3/7/2005,3/7/2005,4/11/2005,35,0,35
3/7/2005,3/7/2005,4/11/2005,35,0,35
3/8/2005,3/8/2005,4/12/2005,35,0,35
3/9/2005,3/9/2005,4/13/2005,35,0,35
3/9/2005,3/9/2005,5/13/2005,65,0,65
3/11/2005,3/11/2005,4/15/2005,35,0,35
3/14/2005,3/14/2005,4/18/2005,35,0,35
3/15/2005,3/15/2005,4/15/2005,31,0,31
3/15/2005,3/15/2005,4/15/2005,31,0,31
3/16/2005,3/16/2005,4/6/2005,21,0,21
3/16/2005,3/16/2005,4/20/2005,35,0,35
3/29/2005,3/29/2005,4/29/2005,31,0,31
4/5/2005,4/5/2005,5/9/2005,34,0,34
4/5/2005,4/5/2005,5/9/2005,34,0,34
4/6/2005,4/6/2005,5/10/2005,34,0,34
4/7/2005,4/7/2005,5/12/2005,35,0,35
4/8/2005,4/8/2005,5/11/2005,33,0,33
4/8/2005,4/8/2005,5/12/2005,34,0,34
4/11/2005,4/11/2005,6/13/2005,63,0,63
4/11/2005,4/11/2005,5/13/2005,32,0,32
4/12/2005,4/12/2005,5/17/2005,35,0,35
4/13/2005,4/13/2005,5/16/2005,33,0,33
4/13/2005,4/13/2005,7/18/2005,96,0,96
4/13/2005,4/13/2005,5/17/2005,34,0,34
4/15/2005,4/15/2005,7/20/2005,96,0,96
4/18/2005,4/18/2005,5/19/2005,31,0,31
4/18/2005,4/18/2005,5/19/2005,31,0,31
4/21/2005,4/21/2005,7/25/2005,95,0,95
4/27/2005,4/27/2005,5/30/2005,33,0,33
5/2/2005,5/2/2005,2/25/2005,-66,0,-66
5/2/2005,5/2/2005,2/25/2005,-66,0,-66
5/2/2005,5/2/2005,3/30/2005,-33,0,-33
5/4/2005,5/4/2005,6/6/2005,33,0,33
5/6/2005,5/6/2005,6/8/2005,33,0,33
5/10/2005,5/10/2005,6/13/2005,34,0,34
5/11/2005,5/11/2005,6/13/2005,33,0,33
5/11/2005,5/11/2005,6/14/2005,34,0,34
5/11/2005,5/11/2005,6/13/2005,33,0,33
5/12/2005,5/12/2005,6/15/2005,34,0,34
5/12/2005,5/12/2005,6/14/2005,33,0,33
5/12/2005,5/12/2005,6/15/2005,34,0,34
5/17/2005,5/17/2005,6/16/2005,30,0,30
5/17/2005,5/17/2005,6/20/2005,34,0,34
5/17/2005,5/17/2005,6/20/2005,34,0,34
5/18/2005,5/18/2005,6/16/2005,29,0,29
5/24/2005,5/24/2005,5/27/2005,3,0,3
5/25/2005,5/25/2005,6/29/2005,35,0,35
6/2/2005,6/2/2005,7/7/2005,35,0,35
6/2/2005,6/2/2005,7/7/2005,35,0,35
6/6/2005,6/6/2005,7/8/2005,32,0,32
6/6/2005,6/6/2005,7/8/2005,32,0,32
6/7/2005,6/7/2005,7/11/2005,34,0,34
6/9/2005,6/9/2005,6/29/2005,20,0,20
6/9/2005,6/9/2005,7/13/2005,34,0,34
6/10/2005,6/10/2005,7/13/2005,33,0,33
6/13/2005,6/13/2005,7/15/2005,32,0,32
6/14/2005,6/14/2005,7/19/2005,35,0,35
6/14/2005,6/14/2005,7/18/2005,34,0,34
6/15/2005,6/15/2005,7/19/2005,34,0,34
6/16/2005,6/16/2005,7/7/2005,21,0,21
6/21/2005,6/21/2005,7/12/2005,21,0,21
6/27/2005,6/27/2005,7/29/2005,32,0,32
6/28/2005,6/28/2005,7/29/2005,31,0,31
7/5/2005,7/5/2005,7/22/2005,17,0,17
7/6/2005,7/6/2005,8/8/2005,33,0,33
7/7/2005,7/7/2005,8/9/2005,33,0,33
7/7/2005,7/7/2005,8/9/2005,33,0,33
7/11/2005,7/11/2005,8/1/2005,21,0,21
7/12/2005,7/12/2005,8/12/2005,31,0,31
7/12/2005,7/12/2005,8/16/2005,35,0,35
7/13/2005,7/13/2005,8/16/2005,34,0,34
7/13/2005,7/13/2005,10/17/2005,96,0,96
7/13/2005,7/13/2005,8/18/2005,36,0,36
7/15/2005,7/15/2005,8/16/2005,32,0,32
7/18/2005,7/18/2005,10/19/2005,93,0,93
7/20/2005,7/20/2005,8/11/2005,22,0,22
7/20/2005,7/20/2005,8/25/2005,36,0,36
7/27/2005,7/27/2005,8/30/2005,34,0,34
8/4/2005,8/4/2005,9/8/2005,35,0,35
8/4/2005,8/4/2005,9/8/2005,35,0,35
8/5/2005,8/5/2005,9/9/2005,35,0,35
8/8/2005,8/8/2005,8/12/2005,4,0,4
8/9/2005,8/9/2005,9/13/2005,35,0,35
8/9/2005,8/9/2005,9/13/2005,35,0,35
8/9/2005,8/9/2005,9/13/2005,35,0,35
8/10/2005,8/10/2005,9/14/2005,35,0,35
8/11/2005,8/11/2005,9/15/2005,35,0,35
8/12/2005,8/12/2005,9/15/2005,34,0,34
8/12/2005,8/12/2005,9/16/2005,35,0,35
8/23/2005,8/23/2005,9/27/2005,35,0,35
8/23/2005,8/23/2005,9/27/2005,35,0,35
8/25/2005,8/25/2005,9/29/2005,35,0,35
9/6/2005,9/6/2005,10/11/2005,35,0,35
9/7/2005,9/7/2005,10/12/2005,35,0,35
9/7/2005,9/7/2005,10/11/2005,34,0,34
9/8/2005,9/8/2005,10/12/2005,34,0,34
9/9/2005,9/9/2005,10/13/2005,34,0,34
9/9/2005,9/9/2005,10/13/2005,34,0,34
9/12/2005,9/12/2005,10/14/2005,32,0,32
9/13/2005,9/13/2005,10/17/2005,34,0,34
9/14/2005,9/14/2005,10/19/2005,35,0,35
9/14/2005,9/14/2005,10/17/2005,33,0,33
9/16/2005,9/16/2005,8/10/2005,-37,0,-37
8/10/2005,9/16/2005,9/12/2005,-4,37,33
8/10/2005,9/16/2005,9/12/2005,-4,37,33
9/23/2005,9/23/2005,10/27/2005,34,0,34
9/28/2005,9/28/2005,10/31/2005,33,0,33
10/7/2005,10/7/2005,11/9/2005,33,0,33
10/7/2005,10/7/2005,11/9/2005,33,0,33
10/7/2005,10/7/2005,11/10/2005,34,0,34
10/7/2005,10/7/2005,11/10/2005,34,0,34
10/10/2005,10/10/2005,11/14/2005,35,0,35
10/10/2005,10/10/2005,11/10/2005,31,0,31
10/11/2005,10/11/2005,11/15/2005,35,0,35
10/11/2005,10/11/2005,11/10/2005,30,0,30
10/11/2005,10/11/2005,11/10/2005,30,0,30
10/12/2005,10/12/2005,10/28/2005,16,0,16
10/12/2005,10/12/2005,11/17/2005,36,0,36
10/13/2005,10/13/2005,11/17/2005,35,0,35
10/17/2005,10/17/2005,1/18/2006,93,0,93
10/17/2005,10/17/2005,11/18/2005,32,0,32
9/12/2005,10/17/2005,10/11/2005,-6,35,29
10/18/2005,10/18/2005,11/17/2005,30,0,30
10/21/2005,10/21/2005,1/25/2006,96,0,96
10/25/2005,10/25/2005,11/29/2005,35,0,35
10/25/2005,10/25/2005,11/29/2005,35,0,35
10/26/2005,10/26/2005,11/29/2005,34,0,34
10/26/2005,10/26/2005,11/29/2005,34,0,34
7/21/2005,11/4/2005,8/22/2005,-74,106,32
8/22/2005,11/4/2005,9/21/2005,-44,74,30
9/21/2005,11/4/2005,10/21/2005,-14,44,30
11/7/2005,11/7/2005,12/8/2005,31,0,31
11/8/2005,11/8/2005,12/9/2005,31,0,31
11/8/2005,11/8/2005,12/9/2005,31,0,31
11/8/2005,11/8/2005,12/12/2005,34,0,34
11/8/2005,11/8/2005,12/12/2005,34,0,34
11/8/2005,11/8/2005,10/28/2005,-11,0,-11
11/8/2005,11/8/2005,11/7/2005,-1,0,-1
11/9/2005,11/9/2005,12/13/2005,34,0,34
11/9/2005,11/9/2005,11/14/2005,5,0,5
11/10/2005,11/10/2005,12/13/2005,33,0,33
11/10/2005,11/10/2005,12/14/2005,34,0,34
11/14/2005,11/14/2005,12/14/2005,30,0,30
11/15/2005,11/15/2005,12/15/2005,30,0,30
11/16/2005,11/16/2005,12/15/2005,29,0,29
11/16/2005,11/16/2005,12/16/2005,30,0,30
11/17/2005,11/17/2005,12/21/2005,34,0,34
11/25/2005,11/25/2005,12/30/2005,35,0,35
11/25/2005,11/25/2005,12/22/2005,27,0,27
11/25/2005,11/25/2005,12/22/2005,27,0,27
11/25/2005,11/25/2005,12/30/2005,35,0,35
11/28/2005,11/28/2005,12/30/2005,32,0,32
12/6/2005,12/6/2005,1/10/2006,35,0,35
11/17/2005,11/30/2005,11/28/2005,-2,13,11
11/25/2005,11/30/2005,12/2/2005,2,5,7
12/6/2005,12/6/2005,1/10/2006,35,0,35
12/7/2005,12/7/2005,1/10/2006,34,0,34
12/7/2005,12/7/2005,12/9/2005,2,0,2
12/8/2005,12/8/2005,1/5/2006,28,0,28
12/8/2005,12/8/2005,1/5/2006,28,0,28
12/8/2005,12/8/2005,12/28/2005,20,0,20
12/12/2005,12/12/2005,1/13/2006,32,0,32
12/13/2005,12/13/2005,1/16/2006,34,0,34
12/14/2005,12/14/2005,1/17/2006,34,0,34
