portfolio_id,desk_id,office_id,pf_category,start_date, sold ,country_code,euribor_rate,currency,libor_rate, bought ,creation_date,indicator_code,sell_date,type,hedge_value,status,return_p, absolute_return ,period_of_holding,start-create,start-sell,create-sell,returnf, return , abret/bought , diff_ret ,gain,interest_rate,principal_amount
PF00001002,DSK00001001,OFF00001002,B,7/20/2004,"110,000,000",T,0.02074,USD,2.332215909,"109,809,663",7/20/2004,no_in_code,8/12/2004,B,no_hedge_value,no_status,2%,"190,336.75",23,0,23,23,2%,0.02496,0.001733333,0.023226667,107068813.8,97.504,216878476.8
PF00001003,DSK00001002,OFF00001001,A,7/9/2004,"176,671,000",N,0.02074,GBP,5.269616818,"176,008,437",7/23/2004,no_in_code,8/12/2004,C,no_hedge_value,no_status,5%,"662,563.27",20,14,34,20,5%,0.05496,0.003764384,0.051195616,166335013.3,94.504,342343450.3
PF00001005,DSK00001004,OFF00001001,A,7/23/2004,"56,474,000",T,0.02074,USD,2.332215909,"56,379,533",7/23/2004,no_in_code,8/17/2004,A,no_hedge_value,no_status,2%,"94,467.04",25,0,25,25,2%,0.02496,0.001675556,0.023284444,54972299.86,97.504,111351832.9
PF00001006,DSK00001005,OFF00001001,A,6/9/2004,"164,813,000",T,0.02074,USD,2.332215909,"164,508,841",7/23/2004,no_in_code,7/13/2004,A,no_hedge_value,no_status,2%,"304,158.57",-10,44,34,-10,2%,0.02496,0.001848889,0.023111111,160402700.3,97.504,324911541.3
PF00001007,DSK00001005,OFF00001002,B,6/9/2004,"140,800,000",T,0.02074,USD,2.332215909,"140,540,157",7/23/2004,no_in_code,7/13/2004,B,no_hedge_value,no_status,2%,"259,843.13",-10,44,34,-10,2%,0.02496,0.001848889,0.023111111,137032274.7,97.504,277572431.7
PF00001008,DSK00001006,OFF00001001,A,7/7/2004,"48,741,000",T,0.02074,USD,2.332215909,"48,651,265",7/26/2004,no_in_code,8/10/2004,A,no_hedge_value,no_status,2%,"89,734.56",15,19,34,15,2%,0.0249,0.001844445,0.023055555,47439848.5,97.51,96091113.5
PF00001010,DSK00001009,OFF00001001,A,7/6/2004,"60,593,500",T,0.02074,USD,2.332215909,"60,481,810",7/26/2004,no_in_code,8/9/2004,A,no_hedge_value,no_status,2%,"111,689.74",14,20,34,14,2%,0.02493,0.001846667,0.023083333,58973998.48,97.507,119455808.5
PF00001011,DSK00001009,OFF00001002,B,7/6/2004,"134,200,000",T,0.02074,USD,2.332215909,"133,952,634",7/26/2004,no_in_code,8/9/2004,B,no_hedge_value,no_status,2%,"247,365.86",14,20,34,14,2%,0.02493,0.001846667,0.023083333,130613194.8,97.507,264565828.8
PF00001012,DSK00001010,OFF00001001,A,4/19/2004,"82,929,000",T,0.02074,USD,2.332215909,"82,506,156",7/26/2004,no_in_code,7/20/2004,A,no_hedge_value,no_status,2%,"422,844.05",-6,98,92,-6,2%,0.0246,0.005125,0.019475,80476504.56,97.54,162982660.6
PF00001016,DSK00001014,OFF00001001,A,4/14/2004,"212,476,000",T,0.02074,USD,2.332215909,"211,413,997",7/27/2004,no_in_code,7/13/2004,A,no_hedge_value,no_status,2%,"1,062,002.98",-14,104,90,-14,2%,0.02466,0.005023333,0.019636667,206200527.8,97.534,417614524.8
PF00001018,DSK00001016,OFF00001001,A,6/11/2004,"77,099,000",T,0.02075,USD,2.181960455,"76,960,823",8/4/2004,no_in_code,7/16/2004,A,no_hedge_value,no_status,3%,"138,176.74",-19,54,35,-19,3%,0.02502,0.001795417,0.023224583,75035263.21,97.498,151996086.2
PF00001019,DSK00001017,OFF00001002,B,8/5/2004,"134,200,000",T,0.02075,USD,2.181960455,"133,967,789",8/5/2004,no_in_code,9/8/2004,B,no_hedge_value,no_status,2%,"232,210.83",34,0,34,34,2%,0.02496,0.001733333,0.023226667,130623953,97.504,264591742
PF00001020,DSK00001017,OFF00001001,A,8/5/2004,"54,989,000",T,0.02075,USD,2.181960455,"54,893,851",8/5/2004,no_in_code,9/8/2004,A,no_hedge_value,no_status,2%,"95,149.34",34,0,34,34,2%,0.02496,0.001733333,0.023226667,53523700.48,97.504,108417551.5
PF00001022,DSK00001018,OFF00001001,A,8/9/2004,"61,567,000",T,0.02075,USD,2.181960455,"61,460,980",8/9/2004,no_in_code,9/9/2004,A,no_hedge_value,no_status,2%,"106,020.19",31,0,31,31,2%,0.02484,0.001725,0.023115,59934289.26,97.516,121395269.3
PF00001026,DSK00001022,OFF00001001,A,5/11/2004,"80,201,000",T,0.02075,USD,2.181960455,"79,779,019",8/10/2004,no_in_code,8/12/2004,A,no_hedge_value,no_status,3%,"421,981.15",2,91,93,2,3%,0.02511,0.005289375,0.019820625,77775767.83,97.489,157554786.8
PF00001027,DSK00001023,OFF00001001,A,8/10/2004,"204,941,000",T,0.02075,USD,2.181960455,"203,820,722",8/10/2004,no_in_code,9/13/2004,A,no_hedge_value,no_status,3%,"1,120,277.95",34,0,34,34,3%,0.02526,0.005496389,0.019763611,198672210.6,97.474,402492932.6
PF00001029,DSK00001024,OFF00001002,B,8/10/2004,"88,000,000",T,0.02075,USD,2.181960455,"87,837,793",8/10/2004,no_in_code,9/13/2004,B,no_hedge_value,no_status,2%,"162,207.12",34,0,34,34,2%,0.02493,0.001846667,0.023083333,85647996.82,97.507,173485789.8
PF00001030,DSK00001025,OFF00001001,A,8/11/2004,"120,296,000",T,0.02075,USD,2.181960455,"120,073,997",8/11/2004,no_in_code,9/14/2004,A,no_hedge_value,no_status,2%,"222,003.48",34,0,34,34,2%,0.02496,0.001848889,0.023111111,117076950,97.504,237150947
PF00001031,DSK00001026,OFF00001001,A,7/20/2004,"59,037,000",T,0.02075,USD,2.181960455,"58,938,127",8/11/2004,no_in_code,8/27/2004,A,no_hedge_value,no_status,2%,"98,872.80",16,22,38,16,2%,0.02499,0.001677569,0.023312431,57465263.21,97.501,116403390.2
PF00001033,DSK00001028,OFF00001002,B,8/12/2004,"44,077,000",T,0.02075,USD,2.181960455,"44,000,732",8/12/2004,no_in_code,9/15/2004,B,no_hedge_value,no_status,2%,"76,267.94",34,0,34,34,2%,0.02496,0.001733333,0.023226667,42902473.73,97.504,86903205.73
PF00001034,DSK00001029,OFF00001001,A,8/12/2004,"71,885,000",T,0.02075,USD,2.181960455,"71,760,913",8/12/2004,no_in_code,9/15/2004,A,no_hedge_value,no_status,2%,"124,086.58",34,0,34,34,2%,0.0249,0.001729167,0.023170833,69974066.27,97.51,141734979.3
PF00001035,DSK00001030,OFF00001001,A,8/25/2004,"44,726,000",T,0.02075,USD,2.181960455,"44,640,885",8/25/2004,no_in_code,9/29/2004,A,no_hedge_value,no_status,2%,"85,115.29",35,0,35,35,2%,0.02496,0.001906667,0.023053333,43526648.51,97.504,88167533.51
PF00001037,DSK00001031,OFF00001002,B,9/6/2004,"134,200,000",T,0.02076,USD,2.367102273,"133,967,789",9/6/2004,no_in_code,10/8/2004,B,no_hedge_value,no_status,2%,"232,210.83",32,0,32,32,2%,0.02496,0.001733333,0.023226667,130623953,97.504,264591742
PF00001038,DSK00001032,OFF00001001,A,9/7/2004,"89,100,000",T,0.02076,USD,2.367102273,"88,935,568",9/7/2004,no_in_code,10/11/2004,A,no_hedge_value,no_status,2%,"164,431.98",34,0,34,34,2%,0.02496,0.001848889,0.023111111,86715736.22,97.504,175651304.2
PF00001039,DSK00001033,OFF00001001,A,9/9/2004,"159,995,000",T,0.02076,USD,2.367102273,"159,134,876",9/9/2004,no_in_code,12/14/2004,A,no_hedge_value,no_status,3%,"860,124.00",96,0,96,96,3%,0.02538,0.005405,0.019975,155096032.8,97.462,314230908.8
PF00001040,DSK00001034,OFF00001001,A,9/9/2004,"176,704,000",N,0.02076,GBP,5.176733182,"176,006,724",9/9/2004,no_in_code,10/13/2004,C,no_hedge_value,no_status,6%,"697,275.95",34,0,34,34,6%,0.05784,0.003961644,0.053878356,165826495.1,94.216,341833219.1
PF00001042,DSK00001035,OFF00001002,B,9/9/2004,"88,000,000",T,0.02076,USD,2.367102273,"87,847,731",9/9/2004,no_in_code,10/13/2004,B,no_hedge_value,no_status,2%,"152,269.40",34,0,34,34,2%,0.02496,0.001733333,0.023226667,85655051.63,97.504,173502782.6
