,portfolio_id,desk_id,office_id,pf_category,start_date,sold,country_code,euribor_rate,currency,libor_rate,bought,creation_date,indicator_code,sell_date,type,hedge_value,status,absolute_return,period_of_holding,start-creation,creation-sell
0,PF00001001,DSK00001001,OFF00001001,A,7/20/2004,171831000,T,0.02074,USD,2.332215909,171533675,7/20/2004,no_in_code,8/12/2004,A,no_hedge_value,no_status,297325.0366,23,0,23
1,PF00001004,DSK00001003,OFF00001002,B,7/23/2004,56485000,T,0.02074,USD,2.332215909,56380383.07,7/23/2004,no_in_code,7/19/2004,B,no_hedge_value,no_status,104616.933,-4,0,-4
2,PF00001009,DSK00001007,OFF00001001,A,6/7/2004,41734000,T,0.02074,USD,2.332215909,41661786.24,7/26/2004,no_in_code,7/9/2004,A,no_hedge_value,no_status,72213.76281,-17,49,-17
3,PF00001013,DSK00001011,OFF00001001,A,7/16/2004,82951000,T,0.02074,USD,2.332215909,82509362.91,7/26/2004,no_in_code,10/19/2004,A,no_hedge_value,no_status,441637.0948,85,10,85
4,PF00001014,DSK00001012,OFF00001001,A,7/13/2004,73293000,T,0.02074,USD,2.332215909,73170546.04,7/26/2004,no_in_code,8/13/2004,A,no_hedge_value,no_status,122453.9576,18,13,18
5,PF00001015,DSK00001013,OFF00001001,A,7/10/2004,212553000,T,0.02074,USD,2.332215909,211410327.2,7/27/2004,no_in_code,10/13/2004,A,no_hedge_value,no_status,1142672.818,78,17,78
6,PF00001017,DSK00001015,OFF00001001,A,8/4/2004,72831000,T,0.02075,USD,2.181960455,72701097.28,8/4/2004,no_in_code,8/16/2004,A,no_hedge_value,no_status,129902.7245,12,0,12
7,PF00001023,DSK00001019,OFF00001001,A,7/12/2004,44088000,T,0.02075,USD,2.181960455,44006734.23,8/9/2004,no_in_code,8/16/2004,A,no_hedge_value,no_status,81265.76921,7,28,7
8,PF00001024,DSK00001020,OFF00001001,A,8/10/2004,80234000,T,0.02075,USD,2.181960455,79784018.14,8/10/2004,no_in_code,11/16/2004,A,no_hedge_value,no_status,449981.8623,98,0,98
9,PF00001025,DSK00001021,OFF00001001,A,8/10/2004,176748000,N,0.02075,GBP,5.024005909,176004249.4,8/10/2004,no_in_code,9/13/2004,C,no_hedge_value,no_status,743750.5598,34,0,34
10,PF00001028,DSK00001024,OFF00001001,A,8/10/2004,218839500,T,0.02075,USD,2.181960455,218436121.3,8/10/2004,no_in_code,9/13/2004,A,no_hedge_value,no_status,403378.704,34,0,34
11,PF00001032,DSK00001027,OFF00001001,A,7/7/2004,40029000,T,0.02075,USD,2.181960455,39962041.38,8/11/2004,no_in_code,8/13/2004,A,no_hedge_value,no_status,66958.62044,2,35,2
12,PF00001036,DSK00001031,OFF00001001,A,9/6/2004,51535000,T,0.02076,USD,2.367102273,51445827.23,9/6/2004,no_in_code,10/8/2004,A,no_hedge_value,no_status,89172.76721,32,0,32
13,PF00001041,DSK00001035,OFF00001001,A,9/9/2004,334070000,T,0.02076,USD,2.367102273,333491947.3,9/9/2004,no_in_code,10/13/2004,A,no_hedge_value,no_status,578052.7086,34,0,34
14,PF00001045,DSK00001038,OFF00001002,B,9/13/2004,44077000,T,0.02076,USD,2.367102273,44000732.06,9/13/2004,no_in_code,10/15/2004,B,no_hedge_value,no_status,76267.93558,32,0,32
15,PF00001047,DSK00001040,OFF00001001,A,9/27/2004,39545000,T,0.02076,USD,2.367102273,39476491.84,9/27/2004,no_in_code,10/29/2004,A,no_hedge_value,no_status,68508.16188,32,0,32
16,PF00001049,DSK00001041,OFF00001001,A,10/6/2004,56441000,T,0.02079,USD,2.469196667,56335839.77,10/6/2004,no_in_code,11/9/2004,A,no_hedge_value,no_status,105160.2342,34,0,34
17,PF00001053,DSK00001043,OFF00001001,A,10/11/2004,176770000,N,0.02079,GBP,5.043244286,176004597,10/11/2004,no_in_code,11/15/2004,C,no_hedge_value,no_status,765403.005,35,0,35
18,PF00001060,DSK00001049,OFF00001001,A,10/13/2004,74283000,T,0.02079,USD,2.469196667,74136662.47,10/13/2004,no_in_code,11/17/2004,A,no_hedge_value,no_status,146337.5343,35,0,35
19,PF00001067,DSK00001057,OFF00001001,A,10/28/2004,105886000,T,0.02079,USD,2.469196667,105689183.3,10/28/2004,no_in_code,11/30/2004,A,no_hedge_value,no_status,196816.7457,33,0,33
20,PF00001068,DSK00001058,OFF00001001,A,9/15/2004,173052000,T,0.02079,USD,2.469196667,172762526.8,10/28/2004,no_in_code,10/15/2004,A,no_hedge_value,no_status,289473.2116,-13,43,-13
21,PF00001069,DSK00001059,OFF00001001,A,8/16/2004,293337000,T,0.02079,USD,2.469196667,292829429,10/28/2004,no_in_code,9/16/2004,A,no_hedge_value,no_status,507571.0103,-42,73,-42
22,PF00001077,DSK00001064,OFF00001001,A,9/9/2004,78760000,T,0.02093,USD,2.803863636,78614650.25,11/5/2004,no_in_code,10/12/2004,A,no_hedge_value,no_status,145349.7533,-24,57,-24
