portfolio_id,desk_id,office_id,pf_category,start_date, sold ,country_code,euribor_rate,currency,libor_rate, bought ,creation_date,indicator_code,sell_date,type,hedge_value,status,return, absolute_return ,period_of_holding,start-create,start-sell,create-sell,returnf
PF00001002,DSK00001001,OFF00001002,B,7/20/2004," 110,000,000 ",T,0.02074,USD,2.332215909," 109,809,663 ",7/20/2004,no_in_code,8/12/2004,B,no_hedge_value,no_status,2%," 190,336.75 ",23,0,23,23,2%
PF00001003,DSK00001002,OFF00001001,A,7/9/2004," 176,671,000 ",N,0.02074,GBP,5.269616818," 176,008,437 ",7/23/2004,no_in_code,8/12/2004,C,no_hedge_value,no_status,5%," 662,563.27 ",20,14,34,20,5%
PF00001005,DSK00001004,OFF00001001,A,7/23/2004," 56,474,000 ",T,0.02074,USD,2.332215909," 56,379,533 ",7/23/2004,no_in_code,8/17/2004,A,no_hedge_value,no_status,2%," 94,467.04 ",25,0,25,25,2%
PF00001006,DSK00001005,OFF00001001,A,6/9/2004," 164,813,000 ",T,0.02074,USD,2.332215909," 164,508,841 ",7/23/2004,no_in_code,7/13/2004,A,no_hedge_value,no_status,2%," 304,158.57 ",-10,44,34,-10,2%
PF00001007,DSK00001005,OFF00001002,B,6/9/2004," 140,800,000 ",T,0.02074,USD,2.332215909," 140,540,157 ",7/23/2004,no_in_code,7/13/2004,B,no_hedge_value,no_status,2%," 259,843.13 ",-10,44,34,-10,2%
PF00001008,DSK00001006,OFF00001001,A,7/7/2004," 48,741,000 ",T,0.02074,USD,2.332215909," 48,651,265 ",7/26/2004,no_in_code,8/10/2004,A,no_hedge_value,no_status,2%," 89,734.56 ",15,19,34,15,2%
PF00001010,DSK00001009,OFF00001001,A,7/6/2004," 60,593,500 ",T,0.02074,USD,2.332215909," 60,481,810 ",7/26/2004,no_in_code,8/9/2004,A,no_hedge_value,no_status,2%," 111,689.74 ",14,20,34,14,2%
PF00001011,DSK00001009,OFF00001002,B,7/6/2004," 134,200,000 ",T,0.02074,USD,2.332215909," 133,952,634 ",7/26/2004,no_in_code,8/9/2004,B,no_hedge_value,no_status,2%," 247,365.86 ",14,20,34,14,2%
PF00001012,DSK00001010,OFF00001001,A,4/19/2004," 82,929,000 ",T,0.02074,USD,2.332215909," 82,506,156 ",7/26/2004,no_in_code,7/20/2004,A,no_hedge_value,no_status,2%," 422,844.05 ",-6,98,92,-6,2%
PF00001016,DSK00001014,OFF00001001,A,4/14/2004," 212,476,000 ",T,0.02074,USD,2.332215909," 211,413,997 ",7/27/2004,no_in_code,7/13/2004,A,no_hedge_value,no_status,2%," 1,062,002.98 ",-14,104,90,-14,2%
